Profundidad,Velocidad,acabado
0.15,0.2,74
0.15,0.2,64
0.15,0.2,60
0.15,0.25,92
0.15,0.25,86
0.15,0.25,88
0.15,0.3,99
0.15,0.3,98
0.15,0.3,102
0.18,0.2,79
0.18,0.2,68
0.18,0.2,73
0.18,0.25,98
0.18,0.25,104
0.18,0.25,88
0.18,0.3,104
0.18,0.3,99
0.18,0.3,95
0.21,0.2,82
0.21,0.2,88
0.21,0.2,92
0.21,0.25,99
0.21,0.25,108
0.21,0.25,95
0.21,0.3,108
0.21,0.3,110
0.21,0.3,99
0.24,0.2,99
0.24,0.2,104
0.24,0.2,96
0.24,0.25,104
0.24,0.25,110
0.24,0.25,99
0.24,0.3,114
0.24,0.3,111
0.24,0.3,107
